Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations	S1Mutations	S2Mutations	S3Mutations
20.000216	465	0	21090	527	20735	375	72	72	0	1	2.433946	0.000088	100.000000	1.001953	8	0	344	140	131	81
20.000216	466	0	22665	799	22231	725	72	72	0	1	5.409605	0.000088	100.000000	1.001953	10	0	474	166	184	134
20.000216	467	0	22314	930	21505	731	72	72	0	1	5.234832	0.000088	100.000000	1.001953	13	0	537	215	191	144
20.000216	468	0	22819	628	22498	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	461	184	170	114
20.000216	469	0	22755	692	22548	601	72	72	0	1	3.501280	0.000088	100.000000	1.001953	10	0	508	197	184	137
20.000216	470	0	22588	633	22112	358	72	72	0	1	3.761056	0.000088	100.000000	1.001953	9	0	464	184	170	119
20.000216	471	0	22432	628	21891	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	456	172	164	127
20.000216	472	0	22248	951	21801	628	72	72	0	1	5.060031	0.000088	100.000000	1.001953	8	0	424	155	155	122
20.000216	473	0	21804	633	21489	358	72	72	0	1	3.761056	0.000088	100.000000	1.001953	9	0	486	190	180	125
20.000216	474	0	22267	805	22116	705	72	72	0	1	3.520433	0.000088	100.000000	1.001953	10	0	510	197	182	141
20.000216	475	0	22542	628	21646	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	446	164	166	123
20.000216	476	0	22955	633	22868	358	72	72	0	1	3.761056	0.000088	100.000000	1.001953	9	0	514	199	192	132
20.000216	477	0	22657	936	20987	633	72	72	0	1	4.451835	0.000088	100.000000	1.001953	10	0	488	193	178	127
20.000216	478	0	21717	977	18884	567	72	72	0	1	1.738056	0.000088	100.000000	1.001953	5	0	323	134	117	77
20.000216	479	0	22468	805	22258	705	72	72	0	1	3.520433	0.000088	100.000000	1.001953	10	0	472	192	168	122
20.000216	480	0	22507	358	22153	314	72	72	0	1	3.365728	0.000088	100.000000	1.001953	8	0	423	165	147	119
20.000216	481	0	22422	858	22299	846	72	72	0	1	5.425762	0.000088	100.000000	1.001953	9	0	482	194	172	125
20.000216	482	0	20872	901	20857	633	72	72	0	1	3.807865	0.000088	100.000000	1.001953	10	0	476	187	177	122
