Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
2	725	1009	1009	10	0	0	61	25	21	25	5.274324	0.000088	19.855906	2
3	846	858	858	9	0	1	52	21	21	19	5.425762	0.000088	19.189613	3
1	628	1032	1032	8	0	0	49	18	21	18	4.769739	0.000088	19.973986	1
16	687	725	725	9	0	1	51	22	18	20	5.123222	0.000088	18.412411	41
1	358	933	933	9	0	0	28	14	17	6	3.532435	0.000088	19.547611	1
0	358	705	705	9	0	1	32	16	16	9	3.385603	0.000088	18.224360	22
8	601	692	692	10	0	1	35	14	20	11	3.501280	0.000088	18.063147	11
2	358	673	673	9	0	1	29	12	15	11	3.413214	0.000088	17.864079	2
1	687	915	915	9	0	1	58	22	23	22	5.134372	0.000088	19.480642	5
1	915	1026	1026	10	0	0	59	23	24	22	5.236051	0.000088	19.937403	1
4	729	840	840	12	0	0	39	17	21	13	3.728797	0.000088	19.081688	4
0	569	728	728	10	0	1	33	15	17	11	3.415714	0.000088	18.429369	4
6	381	775	775	7	0	1	41	18	20	10	3.180935	0.000088	18.778481	7
0	728	729	729	11	0	1	35	17	17	12	3.583863	0.000088	18.430212	4
4	381	730	730	7	0	0	41	17	21	10	2.996694	0.000088	18.430351	4
1	634	731	731	12	0	1	39	16	20	15	5.147478	0.000088	18.435986	23
2	628	1001	1001	8	0	0	50	22	19	17	5.280009	0.000088	19.831203	2
2	764	996	996	12	0	0	43	21	24	10	3.723419	0.000088	19.812281	2
1	644	879	879	10	0	1	36	15	18	13	3.687848	0.000088	19.261986	1
6	628	954	954	8	0	1	45	20	17	16	4.783589	0.000088	19.621618	7
0	358	748	748	9	0	1	30	15	16	8	3.756236	0.000088	18.570692	13
1	633	1040	1040	10	0	0	34	13	18	13	3.783113	0.000088	19.993019	1
1	963	1003	1003	9	0	0	47	23	17	16	4.791511	0.000088	19.835114	1
6	358	754	754	9	0	1	24	13	14	6	3.716587	0.000088	18.593863	6
1	938	993	993	9	0	0	49	20	21	17	5.282978	0.000088	19.793978	1
11	731	930	930	13	0	1	43	18	22	16	5.234832	0.000088	19.531960	13
8	628	956	956	8	0	1	43	18	17	16	4.792529	0.000088	19.625072	9
17	725	799	799	10	0	1	58	25	21	22	5.409605	0.000088	18.874252	23
1	628	921	921	8	0	1	46	18	18	18	5.471940	0.000088	19.497593	1
1	567	977	977	5	0	0	23	11	10	7	1.738056	0.000088	19.728010	1
12	628	789	789	8	0	1	42	18	16	16	5.121121	0.000088	18.824368	13
13	748	790	790	10	0	1	39	20	19	10	3.919246	0.000088	18.824800	13
2	569	1029	1029	10	0	0	34	15	18	11	4.015720	0.000088	19.949787	2
1	358	1027	1027	9	0	0	26	12	16	7	3.794104	0.000088	19.943813	1
5	628	809	809	8	0	1	45	19	17	17	5.092616	0.000088	18.910259	5
0	713	860	860	9	0	1	48	21	20	16	5.601796	0.000088	19.194256	6
0	397	818	818	5	0	1	19	8	11	5	2.980727	0.000088	18.970287	2
4	358	849	849	9	0	0	28	14	16	7	3.747409	0.000088	19.129675	4
1	633	901	901	10	0	0	36	13	22	11	3.807865	0.000088	19.407541	1
1	713	1004	1004	9	0	0	53	25	18	19	5.616825	0.000088	19.836588	1
21	628	830	830	8	0	1	45	17	17	19	5.212936	0.000088	19.017403	31
1	805	1033	1033	11	0	0	45	22	20	14	3.610049	0.000088	19.984980	1
2	628	846	846	8	0	1	47	18	19	18	5.396563	0.000088	19.110218	9
4	569	852	852	10	0	0	34	15	18	11	3.514890	0.000088	19.141645	4
1	628	991	991	8	0	0	45	18	17	18	4.872219	0.000088	19.791212	1
7	731	883	883	13	0	1	43	18	23	15	5.272857	0.000088	19.283455	7
1	954	1012	1012	9	0	1	50	22	20	17	5.085847	0.000088	19.878532	1
1	872	902	902	9	0	1	53	25	21	16	5.289668	0.000088	19.410742	7
1	830	1023	1023	9	0	0	51	19	18	23	5.651567	0.000088	19.922750	1
1	628	872	872	8	0	1	45	20	18	15	5.032821	0.000088	19.237864	8
4	628	987	987	8	0	0	43	16	19	16	4.690740	0.000088	19.761997	4
1	628	1002	1002	8	0	0	46	21	18	15	4.750086	0.000088	19.831203	1
2	830	1028	1028	9	0	0	49	19	17	22	5.362519	0.000088	19.944414	2
6	916	926	926	9	0	0	48	19	19	19	4.894081	0.000088	19.516027	6
2	633	936	936	10	0	0	31	15	18	8	4.451835	0.000088	19.567348	2
3	830	976	976	9	0	0	50	20	18	21	5.267804	0.000088	19.720625	3
4	628	952	952	8	0	0	46	19	18	17	5.862268	0.000088	19.616827	4
2	799	995	995	11	0	0	61	26	23	23	5.473745	0.000088	19.807850	2
1	628	945	945	8	0	0	43	18	17	16	4.688099	0.000088	19.598995	1
2	628	946	946	8	0	0	44	19	17	16	4.738440	0.000088	19.599335	2
0	628	963	963	8	0	1	41	17	16	16	4.681679	0.000088	19.661259	1
2	633	948	948	10	0	0	30	13	19	8	3.788911	0.000088	19.605598	2
2	564	950	950	11	0	0	30	15	17	9	3.936629	0.000088	19.610252	2
3	628	951	951	8	0	1	44	19	17	16	5.060031	0.000088	19.613493	5
1	789	971	971	9	0	0	47	21	18	17	5.319333	0.000088	19.699362	1
2	818	958	958	6	0	0	21	9	12	6	3.003560	0.000088	19.626469	2
1	628	1022	1022	8	0	0	47	17	16	22	4.844833	0.000088	19.916800	1
2	938	960	960	9	0	0	55	23	22	19	5.180645	0.000088	19.630091	2
1	941	961	961	11	0	1	74	37	27	21	6.137765	0.000088	19.631014	3
1	628	974	974	8	0	0	45	17	18	18	5.015333	0.000088	19.714298	1
1	930	1025	1025	14	0	0	46	20	22	18	5.420038	0.000088	19.929916	1
1	628	1013	1013	8	0	0	44	18	17	17	5.032601	0.000088	19.879910	1
1	628	1030	1030	8	0	0	48	17	20	19	4.808388	0.000088	19.966200	1
2	731	1000	1000	13	0	0	42	17	22	16	5.289707	0.000088	19.821842	2
1	628	1005	1005	8	0	0	45	17	19	17	4.694016	0.000088	19.836628	1
4	902	1006	1006	10	0	1	57	28	21	18	5.309497	0.000088	19.836740	6
1	775	1017	1017	8	0	0	48	20	23	13	3.305713	0.000088	19.892681	1
1	628	1031	1031	8	0	0	47	19	18	18	4.844519	0.000088	19.970592	1
1	983	1010	1010	13	0	0	80	40	30	23	6.647077	0.000088	19.857910	1
1	628	1011	1011	8	0	0	46	20	18	16	4.815897	0.000088	19.868273	1
1	922	1014	1014	12	0	0	68	30	24	26	5.716022	0.000088	19.884651	1
2	951	1016	1016	9	0	0	47	20	17	19	5.708049	0.000088	19.890654	2
1	830	1018	1018	9	0	0	49	19	19	20	5.342538	0.000088	19.895267	1
1	713	1037	1037	9	0	0	51	23	21	16	5.487877	0.000088	19.991173	1
3	830	1021	1021	9	0	0	48	18	19	20	5.366689	0.000088	19.912407	3
1	1006	1034	1034	11	0	0	64	30	24	21	5.372748	0.000088	19.986534	1
1	930	1035	1035	14	0	0	51	22	24	19	5.336004	0.000088	19.986992	1
1	1006	1036	1036	11	0	0	63	32	23	19	5.343193	0.000088	19.989321	1
1	915	1038	1038	10	0	0	67	25	27	25	5.246049	0.000088	19.992243	1
1	633	1039	1039	10	0	0	36	13	21	12	4.525288	0.000088	19.992264	1
