Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	S1(MeanNum)	S2(MeanNum)	S3(MeanNum)	VarS1	VarS2	VarS3	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
21.042944	51	606	556	0	40.039215	0.000000	40.233761	0.000000	2.137255	4.215686	0.392157	0.000000	60.627449	28.156866	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	50	50	1	1	1	483	1	893	51	0	0	0	0	0	0	0	0	0	0
22.047380	60	665	606	0	42.216667	0.000000	35.169731	0.000000	2.366667	4.350000	0.300000	0.000000	65.650002	24.600004	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	59	59	1	1	1	530	1	974	60	0	0	0	0	0	0	0	0	0	0
23.047661	54	720	667	0	43.407406	0.000000	36.537724	0.000000	2.370370	4.277778	0.148148	0.000000	70.833344	8.814815	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	52	52	1	1	1	564	1	1055	54	0	0	0	0	0	0	0	0	0	0
24.050007	62	781	720	0	46.161289	0.000000	33.619144	0.000000	2.161290	4.435484	0.225806	0.000000	89.241936	18.838705	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	58	58	1	1	1	612	1	1142	62	0	0	0	0	0	0	0	0	0	0
25.050451	60	824	765	0	48.633335	0.000000	33.865551	0.000000	2.616667	4.450000	0.150000	0.000000	116.850014	13.650002	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	60	60	1	1	1	648	1	1210	60	0	0	0	0	0	0	0	0	0	0
26.053669	72	895	824	0	49.472221	0.000000	41.832577	0.000000	2.583333	4.847222	0.194444	0.000000	163.319504	15.277773	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	72	72	1	1	1	712	1	1318	72	0	0	0	0	0	0	0	0	0	0
27.053963	72	968	897	0	51.986111	0.000000	42.152592	0.000000	2.694444	4.736111	0.152778	0.000000	127.986168	15.319448	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	70	70	1	1	1	762	1	1425	72	0	0	0	0	0	0	0	0	0	0
28.054575	83	1040	958	0	53.734940	0.000000	29.110472	0.000000	3.156626	4.734940	0.120482	0.000000	160.168655	20.795233	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	80	80	1	1	1	823	1	1529	83	0	0	0	0	0	0	0	0	0	0
29.055628	64	1109	1046	0	55.968750	0.000000	22.124023	0.000000	3.078125	4.593750	0.046875	0.000000	121.437500	2.859375	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	61	61	1	1	1	858	1	1632	64	0	0	0	0	0	0	0	0	0	0
30.066240	63	1166	1104	0	57.460316	0.000000	20.407154	0.000000	3.317460	4.666667	0.174603	0.000000	146.000000	33.079376	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	63	63	1	1	1	898	1	1711	63	0	0	0	0	0	0	0	0	0	0
