Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
1	21862	22945	628	7	0	0	434	157	163	121	4.674664	0.000088	19.989956	1
1	22585	22713	799	10	0	0	475	172	181	132	5.409605	0.000088	19.941113	1
1	22191	22716	628	7	0	0	462	180	166	123	4.674664	0.000088	19.941784	1
1	22632	22718	790	10	0	0	458	191	168	109	3.919246	0.000088	19.942766	1
0	22246	22720	805	10	0	1	506	200	179	137	3.520433	0.000088	19.943478	1
1	22508	22722	358	8	0	0	426	165	149	120	3.365728	0.000088	19.943813	1
1	22557	22724	830	8	0	0	502	178	186	146	5.212936	0.000088	19.944414	1
1	21096	22726	628	7	0	0	467	177	167	130	4.674664	0.000088	19.944643	1
1	22326	22728	976	9	0	0	493	173	181	148	5.267804	0.000088	19.944992	1
1	22478	22729	1016	9	0	0	423	158	150	124	5.708049	0.000088	19.945005	1
0	22478	22730	1016	9	0	1	424	159	149	125	5.708049	0.000088	19.945005	1
1	22754	22979	730	7	0	0	403	150	168	92	2.996694	0.000088	19.994802	1
1	22871	22907	1034	11	0	0	495	208	176	122	5.372748	0.000088	19.986534	1
1	21816	22738	673	9	0	0	446	179	157	119	3.413214	0.000088	19.947063	1
1	22659	22740	1000	13	0	0	529	214	186	142	5.289707	0.000088	19.947220	1
1	21374	22771	628	7	0	0	482	180	175	134	4.674664	0.000088	19.957270	1
0	21834	22744	633	9	0	1	510	199	190	130	3.761056	0.000088	19.947968	3
1	22620	22746	569	9	0	0	420	160	157	112	3.380651	0.000088	19.949787	1
1	21970	22748	989	10	0	0	464	170	178	126	5.903074	0.000088	19.949936	1
1	22730	22750	1016	9	0	0	430	161	152	126	5.708049	0.000088	19.949945	1
1	21709	22752	799	10	0	0	471	166	181	134	5.409605	0.000088	19.950459	1
0	19427	22754	730	7	0	1	401	149	167	92	2.996694	0.000088	19.950520	2
1	22548	22756	692	10	0	0	512	200	184	138	3.501280	0.000088	19.951799	1
1	22673	22758	805	10	0	0	476	195	168	123	3.520433	0.000088	19.952332	1
1	22445	22760	1014	12	0	0	468	170	177	133	5.716022	0.000088	19.952400	1
1	22137	22762	938	8	0	0	425	148	159	126	5.009449	0.000088	19.954004	1
1	22683	22764	883	13	0	0	567	228	195	157	5.272857	0.000088	19.955696	1
1	22062	22989	628	7	0	0	451	184	156	118	4.674664	0.000088	19.996386	1
0	22269	22768	799	10	0	1	486	176	187	133	5.409605	0.000088	19.956251	1
1	21896	22769	628	7	0	0	454	176	161	124	4.674664	0.000088	19.956865	1
